id,evidence_class,topic,source,date,key_finding,operationalization,affected_skills,url
R01,B,Codex and coding agents,OpenAI — Introducing the Codex app,2026-02-02,"Codex uses isolated worktrees, skills, automations, sandboxing, and parallel agent surfaces.","Require artifact isolation, scoped parallelism, and reusable skills rather than transcript-only guidance.",context-repository-engineering; multi-agent-engineering; agent-first-software-engineering,https://openai.com/index/introducing-the-codex-app/
R02,B,Codex and coding agents,"OpenAI — Codex for every role, tool, and workflow",2026-06-02,"Codex expands beyond code edits to hosted artifacts, sites, annotations, and broader workflows.",Make the exact durable artifact and its user-facing verification the unit of completion.,codex-task-contract; agent-first-software-engineering; agent-evals-observability,https://openai.com/index/codex-for-every-role-tool-and-workflow/
R03,B,Harness engineering,OpenAI — Harness engineering: leveraging Codex in an agent-first world,2026-02-11,"Agent-first engineering shifts effort toward environment design, repository legibility, intent specification, feedback loops, and verification.","Center the plugin on layer ownership, repository readiness, harness design, and evidence-backed completion.",agentic-engineering; harness-engineering; context-repository-engineering; agent-first-software-engineering,https://openai.com/index/harness-engineering/
R04,B,Orchestration,OpenAI — An open-source spec for Codex orchestration: Symphony,2026-04-27,Issue trackers and durable work objects can serve as control planes for always-on coding-agent orchestration.,"Provide issue-to-artifact, durable plan, ownership, and handoff protocols.",agent-first-software-engineering; multi-agent-engineering; harness-engineering,https://openai.com/index/open-source-codex-orchestration-symphony/
R05,A,Runtime and sandboxing,OpenAI — The next evolution of the Agents SDK,2026-04-15,"The harness can be separated from sandboxed compute for security, durability, and scale.","Separate control plane, execution plane, permissions, run state, and effects in harness blueprints.",harness-engineering; agent-security-governance,https://openai.com/index/the-next-evolution-of-the-agents-sdk/
R06,A,Codex practice,OpenAI — Codex best practices,2026,"High-quality tasks specify goal, context, constraints, and done-when; reusable guidance belongs in AGENTS.md and plans.","Ship execution-contract, layered AGENTS.md, plan, and evidence templates.",codex-task-contract; context-repository-engineering; agent-first-software-engineering,https://developers.openai.com/codex/learn/best-practices
R07,A,Skills and context,OpenAI — Build skills,2026,"Skills use progressive disclosure and may package focused instructions, references, assets, and scripts.",Use a narrow router plus focused skills; keep deep material in references and deterministic checks in scripts.,agentic-engineering; context-repository-engineering,https://developers.openai.com/codex/build-skills
R08,B,Evaluation,OpenAI — Testing Agent Skills Systematically with Evals,2026-01-22,Reusable skills need systematic trigger and behavior evaluations derived from realistic failures.,"Include should/should-not-trigger cases, behavior contracts, scenarios, and failure-derived eval guidance.",agent-evals-observability; agent-first-software-engineering,https://developers.openai.com/blog/eval-skills
R09,A,Agent security,OpenAI — Safety in building agents,2026,"Structured boundaries, approvals, guardrails, and trace-based evaluation reduce prompt-injection and unsafe-action risk.","Encode provenance separation, capability/approval policies, and safety/recovery evals.",agent-security-governance; harness-engineering; agent-evals-observability,https://developers.openai.com/api/docs/guides/agent-builder-safety
R10,A,Architecture patterns,OpenAI — A practical guide to building AI agents,2025,"Agent systems combine model, tools, instructions, guardrails, and orchestration; single-agent simplicity is often preferable.",Apply smallest-fitting-architecture escalation and make multi-agent an earned choice.,agentic-engineering; multi-agent-engineering,https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/
R11,C,Harness engineering,Martin Fowler — Harness engineering for coding agent users,2025,Harnesses combine feedforward guides and feedback sensors around coding agents.,Use explicit control/feedback mechanisms and distinguish prompt advice from executable controls.,harness-engineering; agent-first-software-engineering,https://martinfowler.com/articles/exploring-gen-ai/harness-engineering.html
R12,A,Repository context,AGENTS.md — open format,2025,AGENTS.md is an open repository convention for instructions to coding agents.,Provide layered AGENTS.md guidance and promotion rules for repeated corrections.,context-repository-engineering; agent-first-software-engineering,https://agents.md/
