foundation_id,area,source,canonical_url,version_or_date,status,evidence_class,exact_claim,applies_to,implementation_use,supersedes_or_obsoletes,review_trigger
F-OPENAI-56,model prompting and orchestration,OpenAI Model guidance — GPT-5.6,https://developers.openai.com/api/docs/guides/latest-model,accessed 2026-08-08,controlling_current,official product guidance,"Lean, nonrepetitive instructions, relevant tools, explicit authority and representative evals can improve quality and efficiency; reported effect sizes are directional.",both,Use as the current prompt/context optimization baseline; remove one group at a time and rerun held-out tasks.,Supersedes generic “more detail is safer” and permanent deep-thinking/multiple-approach rules.,OpenAI model-guide or Codex behavior change
F-OPENAI-HARNESS,agent-first repository and harness design,OpenAI Harness engineering,https://openai.com/index/harness-engineering/,2026-02-11,stable_supporting,first-party case study,"Human attention is scarce; repositories should expose maps, executable feedback loops, isolated workspaces and agent-legible product surfaces. The reported architecture is repository-specific, not universal law.",both,"Retain progressive disclosure, executable boundaries and product legibility; evaluate local transfer.","Narrow any rule that treats the OpenAI internal repository topology, review loops, file limits or doc-gardening cadence as universal.",Material OpenAI follow-up or local A/B contradiction
F-PROMPT-WASTE,prompt and harness efficiency,Prompt-Induced Waste in Large Reasoning Models,https://arxiv.org/abs/2608.01347,2026-08-02 v1,empirical_directional,preregistered benchmark,"Generic deep-thinking and mandatory multi-approach language can multiply reasoning cost without improving correctness; scope, acceptance and stopping constraints are safer defaults.",both,Delete generic deliberation cues and require a changed hypothesis after repeated attempts.,"Obsoletes blanket “ultradeep,” “consider every failure,” or compare-many-approaches instructions as standing policy.","Replication, revision, or local A/B contradiction"
F-SKILL-REDUCER,skill body efficiency,SkillReducer,https://arxiv.org/abs/2603.29919,2026-03-31,empirical_directional,large empirical study,Much public skill content is nonactionable; progressive disclosure can reduce descriptions and bodies while preserving or improving measured function.,agentic-engineering,"Separate actionable core from examples, schemas, background and version history; test faithfulness.","Supersedes automatic retention of shared-reference catalogs, output schemas and release history in every skill body.",Paper revision or local skill A/B
F-SKILL-ROUTER,skill routing,SkillRouter,https://arxiv.org/abs/2603.22455,2026-03-23,empirical_directional,routing benchmark,Body-resident content can be decisive for routing under heavy overlap; metadata-only decisions may fail.,agentic-engineering,Do not delete discriminative procedure or vocabulary without body-aware held-out routing tests.,"Obsoletes merge/retire decisions based only on names, descriptions, embeddings or lexical similarity.",Paper revision or local routing results
F-SKILLS-INJECTOR,dynamic context selection,SkillsInjector,https://arxiv.org/abs/2605.29794,2026-05-28,empirical_directional,multi-benchmark study,"Skill identity, count and set-aware presentation independently affect outcomes; more injected skills can reduce performance.",agentic-engineering,Use adaptive zero-to-few specialist exposure and evaluate set composition.,Obsoletes always-loading full profiles or treating skill count as capability.,Paper publication/revision or local activation data
F-CONTEXT-NEG,repository instruction files,Evaluating AGENTS.md,https://arxiv.org/abs/2602.11988,2026-02-12,empirical_directional,multi-agent repository study,Repository context files can increase exploration and inference cost while reducing success when they add unnecessary requirements.,both,Keep only minimal nonstandard requirements in active context; compare against no-context baseline.,Obsoletes assuming more repository prose is inherently beneficial.,Replication or local context A/B
F-CONTEXT-NULL,repository instruction files,Do Context Files Help Coding Agents?,https://arxiv.org/abs/2607.27250,2026-07-28,empirical_directional,two-agent ablation,Context strategy had no measurable correctness effect in the studied tasks; many failures were implementation rather than knowledge failures.,both,"Treat context reduction as a cost/attention hypothesis, not guaranteed correctness gain.",Obsoletes claims that prose reduction alone will improve every task.,More repositories/models or local A/B
F-BUILD-TO-TEST,evaluation construction validity,Building to the Test,https://arxiv.org/abs/2606.28430,2026-06-26,empirical_directional,controlled coding-agent study,Agents can satisfy an oracle while missing the requested reusable artifact; tests prove only their checked surface.,both,Grade the real user/dependent-system boundary plus prohibited substitutions.,Obsoletes pass/fail claims derived solely from visible or hidden test count.,Replication or local evaluator findings
F-HANDBOOK,long-policy adherence,HANDBOOK.md benchmark,https://arxiv.org/abs/2607.25398,2026-07,empirical_directional,strict long-policy benchmark,Long textual policy remains probabilistic; models can perform checks yet ignore their result or claim compliance falsely.,both,"Keep consequential authority in code, permissions, schemas and external graders.","Obsoletes treating policy volume, reviewer agreement or receipt presence as enforcement.",Paper revision or model-specific replication
F-DORA-2025,AI-assisted delivery system,DORA 2025 State of AI-assisted Software Development,https://dora.dev/research/2025/dora-report/,2025 report,stable_supporting,industry research program,"AI amplifies the strengths and dysfunctions of the surrounding delivery system; outcomes depend on the organizational system, not model access alone.",both,"Measure user value, flow, stability and supervisory work; improve environment and feedback loops.",Obsoletes generated-output and activity metrics as primary product success.,DORA 2026 report
F-DORA-USER,product orientation,DORA User-centric focus,https://dora.dev/capabilities/user-centric-focus/,accessed 2026-08-08,stable_supporting,research-derived capability guidance,User focus prevents AI-assisted feature-factory acceleration and is associated with stronger organizational and team performance.,both,Keep one observable user outcome ahead of governance expansion.,Obsoletes feature/file/gate count as outcome proxy.,DORA capability update
F-DORA-BATCH,delivery sequencing,DORA Working in small batches,https://dora.dev/capabilities/working-in-small-batches/,accessed 2026-08-08,stable_supporting,research-derived capability guidance,"Small, independently testable changes shorten feedback and reduce risk.",both,Use one mechanism or product blocker per experimental slice.,Obsoletes portfolio-wide rewrites before a thin vertical result.,DORA capability update
F-DORA-TENSIONS,human supervisory work,DORA Balancing AI tensions,https://dora.dev/insights/balancing-ai-tensions/,2026,stable_supporting,industry research synthesis,"AI creation gains can be offset by verification tax, expertise gaps, tool sprawl and production-flow instability.",both,"Measure review burden, interventions, rework and integration cost separately from generation speed.",Obsoletes token/throughput-only success claims.,DORA update or local dogfood
F-NIST-AI800-4,post-deployment monitoring,NIST AI 800-4 — Challenges to the Monitoring of Deployed AI Systems,https://doi.org/10.6028/NIST.AI.800-4,2026-03-06,stable_supporting,official descriptive report,The report organizes monitoring categories and open challenges; it does not prescribe a validated monitoring methodology.,both,Use its categories to design questions; do not convert each category into mandatory infrastructure.,Corrects Agentic R75 title and overly prescriptive operationalization.,NIST monitoring guidance update
F-NIST-AI800-3,AI evaluation statistics,NIST AI 800-3 — statistical considerations for AI evaluation,https://doi.org/10.6028/NIST.AI.800-3,2026-02-17,stable_supporting,official measurement guidance,"Evaluation claims require explicit populations, uncertainty, data quality and statistical limitations.",both,"Predeclare endpoints, units, repetitions and claim boundaries; report uncertainty.",Supersedes informal confidence arithmetic and leaderboard-only conclusions.,NIST publication update
F-NIST-AGENT-INIT,agent standards,NIST AI Agent Standards Initiative,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,2026-02-17; updated 2026-04-20,emerging_not_normative,government initiative,"Identity, authorization, interoperability and security are priority research/standardization areas; concrete normative requirements remain emerging.",both,"Treat as roadmap evidence, not a source of mandatory law IDs.",Narrows Agentic R147 and UltraGoal source-to-law promotion.,NIST publishes guidelines/standards
F-NIST-IDENTITY,agent identity and authorization,NIST NCCoE identity and authorization concept paper,https://csrc.nist.gov/pubs/other/2026/02/05/accelerating-the-adoption-of-software-and-ai-agent/ipd,2026-02-05 draft concept,draft_provisional,government concept paper,Agent access requires explicit identity and authorization analysis; the document solicits input and is not a final standard.,both,"Retain explicit principal, target, permission and effect identity; do not claim conformance.",Narrows Agentic R150 and any UltraGoal “NIST requires” language.,NIST final project/guidance
F-NIST-AIRMF,AI risk lifecycle,NIST AI RMF 1.0 and Playbook,https://www.nist.gov/itl/ai-risk-management-framework,1.0; revision underway,stable_supporting,official framework,"Govern, Map, Measure and Manage provide a risk vocabulary; implementation must remain context-specific.",both,"Use for risk framing and decision ownership, not one-size artifact requirements.",Any draft profile or future RMF revision is provisional until final.,AI RMF revision
F-SSDF-11,secure development,NIST SP 800-218 SSDF 1.1,https://csrc.nist.gov/pubs/sp/800/218/final,2022 final,controlling_current,official final guidance,"Secure development practices should integrate preparation, protection, secure production and vulnerability response into the actual SDLC.",both,Use as stable security foundation with risk-proportionate implementation.,Remains controlling while SSDF 1.2 is draft.,Final SSDF revision
F-SSDF-12-DRAFT,secure development evolution,NIST SP 800-218 Rev.1 SSDF 1.2 Initial Public Draft,https://csrc.nist.gov/pubs/sp/800/218/r1/ipd,2025-12-17 IPD,draft_provisional,official draft,The draft proposes updated practices but is not final.,both,Use only as provisional gap input; label draft-derived changes.,Agentic R96/R151 duplicate draft entries should be consolidated and cannot be treated as final law.,Final publication or new draft
F-SSDF-A,GenAI secure development,NIST SP 800-218A,https://csrc.nist.gov/pubs/sp/800/218/a/final,2024 final,stable_supporting,official final guidance,"GenAI development adds model, data, evaluation, misuse and supply-chain risks to SSDF practices.",both,Apply only to relevant model/tool/data boundaries.,Supersedes generic AI security checklists detached from the product boundary.,NIST revision
F-SLSA-12,software supply chain,SLSA v1.2,https://slsa.dev/spec/v1.2/,2025-11-24 approved,controlling_current,approved open specification,Build and Source tracks provide provenance and integrity controls for artifacts and source revisions; they do not prove behavioral correctness.,both,Use exact source/build/package identities and claim only provenance/integrity.,Supersedes SLSA 1.0/1.1 as current version; correct Agentic R98 release metadata.,SLSA approved version change
F-MCP-20260728,agent-to-tool protocol,MCP specification 2026-07-28,https://blog.modelcontextprotocol.io/posts/2026-07-28/,2026-07-28,controlling_current,official protocol release,"Modern MCP is stateless-first; Roots, Sampling, Logging, Dynamic Client Registration and legacy HTTP+SSE are deprecated for new implementations, with compatibility windows.",agentic-engineering,Update protocol advice and Rust examples; link to protocol-era matrix instead of restating it.,Supersedes Agentic R27/R66 guidance that omits modern-era/deprecation rules.,Next MCP spec/SDK major
F-A2A-10,agent-to-agent protocol,A2A Protocol v1.0,https://a2a-protocol.org/latest/announcing-1.0/,1.0.0 current,controlling_current,official protocol specification,"A2A is for interoperable independent agent systems across boundaries, not internal subagents or tool calls.",agentic-engineering,Adopt only for real interoperability need; keep internal worker orchestration on native contracts.,Supersedes pre-1.0 A2A details and generic “multi-agent means A2A” assumptions.,A2A released version change
F-OTEL-159,observability standard,OpenTelemetry specification 1.59 / semconv 1.43,https://opentelemetry.io/docs/specs/,1.59.0 / 1.43.0 current,controlling_current,official specification,"Use traces, metrics and logs with versioned semantics; experimental GenAI conventions and deprecated compatibility surfaces are not immutable domain contracts.",both,Keep product/domain evidence independent of OTel and adopt stable fields selectively.,Supersedes hardcoded older semconv attributes and deprecated span-event assumptions.,OTel/semconv release
